"ToxPi Score","HClust Group","KMeans Group","Name","Source","Infection Rate: Disease Spread!15!0xcc3333ff","Infection Rate: Transmissible Cases!15!0xe64d4dff","Pop Concentration: Pop Mobility!10!0x57b757ff","Pop Concentration: Residential Density!10!0x5ced5cff","Intervention: Testing!15!0x4258c9ff","Intervention: Social Distancing!15!0x6079f7ff","Healthcare: Hospital Beds!5!0x9a42c8ff","Healthcare: Age Distribution!5!0xb460e0ff","Healthcare: Co-morbidities!5!0xc885ecff","Healthcare: Health Disparities!5!0xdeb9f1ff"
"0.49299852313928477","1","1","Florida, Franklin","-84.8273,29.8379","0.0","0.0","0.5006968523044365","0.8781","0.4046997267114876","1.0","0.47139325330303844","0.6441567395133083","0.8779650453694144","0.894762539856598"
"0.4929954298002828","1","1","North Carolina, Halifax","-77.6556,36.2567","0.0","0.0","0.5487756681610488","0.8918","0.4010566172717014","1.0","0.3425984405136909","0.6095051758860066","0.9459557877435844","0.8775280037251733"
"0.4928247787855671","1","1","Virginia, Greensville","-77.5635,36.6788","0.0","0.0","0.5363848283544073","0.9567","0.5344860762537073","1.0","0.0","0.5067215141840639","0.9039277521075568","0.8562184239497841"
"0.4921279896951144","1","1","Oklahoma, McIntosh","-95.666,35.3724","0.0","0.0","0.46655726244652895","0.582","0.7494268279629801","1.0","0.0","0.6960934005090119","0.930148794517381","0.8709225900938978"
"0.49205641856643845","1","1","Kansas, Johnson","-94.8225,38.8855","0.932203389830508","0.3377507049430153","0.718837457801256","0.0783","0.4446698152602721","0.32499999999999996","0.4829594115957949","0.4752076683887773","0.7553460444069453","0.4144686012333517"
"0.491489279365598","1","1","Minnesota, Washington","-92.8843,45.0386","1.0","0.2760248009157044","0.6656700134988089","0.1293","0.24740233354332555","0.5","0.6076398624786418","0.4806485213347297","0.7490339763276104","0.3322417967962705"
"0.4911417570766735","1","1","Oregon, Deschutes","-121.2289,43.9157","0.933333333333333","0.3067701878570357","0.5839215846323134","0.2152","0.31796811872105485","0.32499999999999996","0.5063810081498825","0.6017807168377609","0.7768416924232989","0.6903736351236295"
"0.4909927448538115","1","1","Texas, Frio","-99.108,28.8675","0.0","0.0","0.5309948719690261","0.9885","0.5277986396013505","0.825","0.5517918150284464","0.4377631248108773","0.7750794307123815","0.957834863782422"
"0.4908287714557547","1","1","Ohio, Fairfield","-82.6309,39.7511","1.0","0.22186710606700463","0.6129511937302853","0.3021","0.3575428649214742","0.25","0.5038912209118738","0.5142005305328247","0.8524599170666447","0.6276914601777442"
"0.4905790299312741","1","1","Texas, Gray","-100.8129,35.4008","0.0","0.0","0.4810415016517869","0.8106","0.5277986396013505","1.0","0.36005270158223873","0.5287228277828","0.8462111020473968","0.9099150451054212"
"0.49035869160416207","1","1","Oklahoma, McCurtain","-94.7722,34.1166","0.0","0.0","0.47535880854344503","0.6345","0.7494268279629801","0.825","0.43843027773032395","0.5712984652022484","0.9344586803541981","0.9199883078206403"
"0.49026607876748224","1","1","Texas, Madison","-95.93,30.9669","0.0","0.0","0.5252743416748684","0.9621","0.5277986396013505","0.825","0.49681999711005526","0.5016507991249867","0.8864532204189189","0.8872529565418956"
"0.49025738053962814","1","1","Illinois, Kendall","-88.4287,41.5908","1.0","0.24808390957378412","0.6464548873698709","0.0478","0.3889681207975241","0.575","0.0","0.3453966168814669","0.7942108652909826","0.6408742627664464"
"0.4902300942794691","1","1","Indiana, Ohio","-84.9652,38.9553","1.0","0.420235078573769","0.5566823358941179","0.1207","0.5455255239500132","0.25","0.0","0.6299572389493907","0.8218145064139752","0.3507836608664347"
"0.4898265293420298","1","1","Virginia, Spotsylvania","-77.6554,38.1857","0.666666666666667","0.09553038449362408","0.6255150366655466","0.1468","0.5344860762537073","0.575","0.6010179127655517","0.46408171358848016","0.8393034757077735","0.732448029205703"
"0.48973456760181344","1","1","Oklahoma, Murray","-97.0683,34.4812","0.0","0.0","0.49989234714208","0.6262","0.7494268279629801","0.825","0.4927411973095336","0.5978576089534523","0.8909677212930615","0.8376596463071206"
"0.489613757701349","1","1","Colorado, Alamosa","-105.7885,37.5725","0.0","0.0","0.5541025284735582","0.9943","0.36877645861804365","1.0","0.4450423304458247","0.452613368495235","0.7795283252867593","0.9119566969979152"
"0.4890147083787121","1","1","Florida, Washington","-85.66,30.6136","0.0","0.0","0.519558198395035","0.8548","0.4046997267114876","1.0","0.45816028874794007","0.5670390838965326","0.9211160694833082","0.8711631485219267"
"0.4889419391127977","1","1","Virginia, Portsmouth City","-76.3597,36.8591","0.0","0.0","0.7789831370172744","0.7469","0.5344860762537073","0.825","0.40474278532235325","0.49129758316188105","0.8941450449841584","0.8584288659918917"
"0.48859808462054793","1","1","Texas, Colorado","-96.5274,29.6221","0.0","0.0","0.5057788920997902","0.7428","0.5277986396013505","1.0","0.36976815608624614","0.6406572602088578","0.8390408068552108","0.841941766257013"
